"timestamp";"latitude";"longitude";"altitude";"nic";"nac_p";"gpsOkBefore";"callsign";"aircraft_type"
"2024-04-08 17:00:46";30.821548;33.485305;32000;0;9;0;"UAE1W";"B77W"
"2024-04-08 17:00:46";37.07103;33.528988;37000;0;8;0;"PBD860";"B738"
"2024-04-08 17:00:46";35.305496;33.691153;11425;0;0;1712588386;"PGT1941";"A320"
"2024-04-08 17:00:46";32.011693;34.853565;2950;0;0;1712588401;"DLH4EU";"A21N"
"2024-04-08 17:00:46";33.852787;35.471191;2475;0;0;0;"MEA368";"A320"
"2024-04-08 17:00:46";33.818253;35.490772;11475;0;0;1712588342;"MEA422";"A21N"
"2024-04-08 17:00:46";33.818298;35.490829;41000;0;0;0;"DLH636";"A333"
"2024-04-08 17:02:43";34.940108;31.361275;23425;6;7;0;"EZY24KW";"A320"
"2024-04-08 17:02:43";31.206758;33.243475;38000;0;0;0;"QTR9E";"A333"
"2024-04-08 17:02:43";31.055283;33.338821;32000;0;9;0;"UAE1W";"B77W"
"2024-04-08 17:02:43";35.59966;33.779394;15425;5;7;0;"PGT1941";"A320"
"2024-04-08 17:02:43";34.410416;34.844149;16575;0;0;0;"EXS8YF";"B738"
"2024-04-08 17:02:43";32.006794;34.872986;250;0;0;0;"ELY363";"B738"
"2024-04-08 17:02:43";33.818527;35.49066;39000;0;0;0;"FDB1574";"B38M"
"2024-04-08 17:02:43";33.818253;35.490772;38000;6;0;0;"RJA167";"E295"
"2024-04-08 17:02:43";33.818292;35.490818;32000;0;0;0;"ELY375";"B739"
"2024-04-08 17:02:43";33.725374;35.530128;5425;0;0;0;"MEA368";"A320"
"2024-04-08 17:03:42";34.99639;31.244259;24600;0;0;0;"EZY24KW";"A320"
"2024-04-08 17:03:42";31.320951;33.179315;38000;5;9;0;"QTR9E";"A333"
"2024-04-08 17:03:42";31.172822;33.264899;32000;0;9;0;"UAE1W";"B77W"
"2024-04-08 17:03:42";35.609715;33.782316;17425;0;0;1712588568;"PGT1941";"A320"
"2024-04-08 17:03:42";31.967515;34.753567;275;6;6;0;"4XHSI";"AP32"
"2024-04-08 17:03:42";32.007397;34.873119;250;0;0;0;"ELY363";"B738"
"2024-04-08 17:03:42";33.81839;35.490716;39000;0;0;0;"FDB1574";"B38M"
"2024-04-08 17:03:42";33.818245;35.490875;37000;0;0;0;"FDB1081";"B38M"
"2024-04-08 17:03:42";33.81839;35.490885;8025;6;0;1712588582;"DLH4EU";"A21N"
"2024-04-08 17:03:42";33.732357;35.515366;9225;0;0;0;"MEA368";"A320"
"2024-04-08 17:04:43";35.055267;31.122362;25725;0;8;0;"EZY24KW";"A320"
"2024-04-08 17:04:43";31.434212;33.139764;38000;0;0;1712588654;"QTR9E";"A333"
"2024-04-08 17:04:43";31.177151;33.262152;32000;0;0;1712588624;"UAE1W";"B77W"
"2024-04-08 17:04:43";34.961569;33.567352;6700;6;0;0;"EXS11K";"B738"
"2024-04-08 17:04:43";31.95867;34.742133;550;6;10;0;"4XHSI";"AP32"
"2024-04-08 17:04:43";33.861694;35.463531;2325;5;0;0;"MEA203";"A320"
"2024-04-08 17:04:43";33.73231;35.514565;11525;0;0;0;"MEA368";"A320"
"2024-04-08 17:05:43";35.10574;31.015491;26450;0;0;0;"EZY24KW";"A320"
"2024-04-08 17:05:43";35.20871;31.455763;32975;0;0;1712588672;"BAW8TD";"A21N"
"2024-04-08 17:05:43";32.757477;31.856836;39000;6;8;0;"UAE5RQ";"A388"
"2024-04-08 17:05:43";31.583505;33.132349;38000;0;0;0;"QTR9E";"A333"
"2024-04-08 17:05:43";31.960485;34.753567;350;6;10;0;"4XHSI";"AP32"
"2024-04-08 17:05:43";32.007351;34.874149;250;0;0;0;"ELY363";"B738"
"2024-04-08 17:05:43";33.818246;35.490818;30000;0;0;1712588390;"DLH687";"A21N"
"2024-04-08 17:05:43";33.721252;35.535615;13625;0;0;0;"MEA368";"A320"
"2024-04-08 18:17:29";34.34936;30.896358;35075;0;0;1712593032;"THY38Y";"A21N"
