timestamp,latitude,longitude,altitude,nic,nac_p,gpsOkBefore,callsign,aircraft_type,radio_horizon
4/8/2024 19:23,34.960236,30.869228,39000,6,9,0,THY98Q,A332,1277603.119
4/8/2024 19:24,34.010134,30.737915,41000,0,0,1712597026,KLM425,A333,1309952.621
4/8/2024 19:24,36.877441,32.829544,29000,0,0,1712596984,SXS2Q,B738,1101698.248
4/8/2024 19:25,33.818292,35.490818,36000,0,0,0,FAD807,A20N,1227481.373
4/8/2024 19:26,32.002293,34.875122,39000,0,0,0,,B738,1277603.119
4/8/2024 19:26,33.818298,35.490772,27750,0,0,0,MEA313,A320,1077693.227
4/8/2024 19:32,30.938553,33.389121,31975,0,0,0,LMU706,A321,1156828.385
4/8/2024 19:34,35.298793,31.44141,25750,0,5,0,RYR9641,B738,1038131.279
4/8/2024 19:38,34.841743,33.689976,6150,0,0,1712597875,CYF102,A320,507342.4687
4/8/2024 19:42,33.818298,35.490716,25725,0,0,0,UAE110,B77W,1037627.209
4/8/2024 19:46,36.245572,31.997564,35650,0,0,1712598375,PGT1862,A20N,1221499.875
4/8/2024 19:47,36.90843,34.445482,31025,0,0,1712598106,TKJ4AL,A320,1139513.711
4/8/2024 19:48,35.359955,31.085415,35000,0,0,0,THY140,A321,1210312.955
4/8/2024 19:59,37.214977,33.981369,23225,0,0,0,TKJ5NQ,B738,985919.6472
4/8/2024 20:00,33.761964,35.329628,20025,0,0,1712599187,PGT1924,A21N,915482.2373
4/8/2024 20:01,35.628848,31.229222,33000,0,0,1712599244,RJA144,A320,1175223.94
4/8/2024 20:16,32.001022,34.874516,22900,0,0,0,,B772,978997.0904
4/8/2024 20:23,34.200626,30.714169,41000,0,0,1712600464,BAW125,B772,1309952.621
4/8/2024 20:24,34.94989,33.640978,7400,0,0,0,CGF7867,B734,556518.3896
4/8/2024 20:34,34.738174,30.894844,37000,0,0,1712601216,RJA110,A319,1244412.95
4/8/2024 20:43,35.63356,31.213074,39025,0,0,1712601736,HYM457,A319,1278012.542
4/8/2024 20:52,35.60357,31.254058,35000,0,0,0,RJA116,A319,1210312.955
4/8/2024 20:54,35.366201,31.082368,41000,0,0,1712602442,THY136,A333,1309952.621
4/8/2024 21:06,33.818253,35.490829,39000,0,0,0,FDX8,B77L,1277603.119
4/8/2024 21:17,32.736649,31.002814,35975,0,6,0,SEU7112,A320,1227055.09
4/8/2024 21:19,35.423218,31.1689,33025,0,0,0,AEE91C,A20N,1175669.017
4/8/2024 21:24,35.370346,31.080723,37025,6,8,0,THY916,A20N,1244833.289
4/8/2024 21:36,33.367722,36.576397,8700,0,0,0,,B737,603424.9821
4/8/2024 21:38,34.985504,30.869844,32975,0,0,1712605037,THY5CV,A321,1174778.695
4/8/2024 21:43,35.358765,31.093426,38975,0,0,0,THY914,B738,1277193.565
4/8/2024 21:45,34.144135,30.923151,37000,0,0,1712605281,TVS4301,B38M,1244412.95
4/8/2024 21:48,32.000718,34.883035,-1,0,9,0,BBG461,B738,#NUM!
4/8/2024 21:51,35.368607,31.084042,37000,4,0,0,THY912,B738,1244412.95
4/8/2024 21:58,33.704544,30.774835,34950,0,0,1712606221,BES7221,,1209448.137
4/8/2024 21:58,33.978333,30.782851,37000,0,0,1712606189,CLX7W,B748,1244412.95
4/8/2024 22:00,33.834915,35.486008,34000,0,0,0,MEA403,A320,1192897.473
4/8/2024 22:07,32.002697,34.883091,-1,0,0,1712606093,FDB1625,B738,#NUM!
4/8/2024 22:10,32.798035,30.984192,33975,6,8,0,SVI7506,A320,1192458.827
4/8/2024 22:12,34.461086,30.728474,25000,0,0,0,,B738,1022901.144
4/8/2024 22:35,33.846542,35.510111,37050,0,0,1712608496,WAZ2PG,A21N,1245253.486
4/8/2024 22:41,34.821678,27.316132,36025,0,0,0,EZY61XA,A320,1227907.507
4/8/2024 22:41,36.93187,28.723347,11300,0,0,0,,B738,687706.108
4/8/2024 22:41,40.641083,29.024132,23850,0,0,0,THY6173,A332,999097.4525
4/8/2024 22:41,36.347946,30.568314,41200,0,0,0,LDX2C,GLEX,1313143.741
4/8/2024 22:41,34.417094,30.598068,35000,6,9,0,EDW66,A343,1210312.955
4/8/2024 22:41,36.965424,30.676167,5000,0,0,0,PGT58BG,A20N,457455.2984
4/8/2024 22:41,30.334625,31.170637,32925,0,0,0,JZR722,A320,1173887.699
4/8/2024 22:41,30.249691,31.212322,36000,0,0,0,EZY41XU,A20N,1227481.373
4/8/2024 22:41,40.682373,33.550873,35000,0,0,0,IRA769,A306,1210312.955
4/8/2024 22:41,39.209461,36.817871,35025,0,0,0,PGT858,A21N,1210745.133
4/8/2024 22:41,41.020386,39.968201,31000,0,0,0,THY364,A21N,1139054.507
4/8/2024 22:41,33.355515,43.904392,4275,0,0,0,IAW602,B788,422991.577
4/8/2024 22:42,30.084244,31.351575,8125,0,0,0,FDB1807,B38M,583143.3732
4/8/2024 22:44,30.413269,33.581866,31975,0,0,0,MSC434,A320,1156828.385
4/8/2024 22:45,36.9123,30.7988,475,0,0,0,,B738,140997.1923
4/8/2024 22:45,31.161276,38.795746,34000,0,0,0,UAE2832,B77W,1192897.473
4/8/2024 22:50,29.019874,33.088397,24000,0,0,0,MSR029,B738,1002234.344
